State,Year,so2,no2,rspm
Andhra Pradesh,2005,6.1059125960000005,30.12773006,79.36053593
Andhra Pradesh,2006,7.933035714,27.64162103,85.93876435
Andhra Pradesh,2007,6.538941117999999,27.03730826,81.51388212
Andhra Pradesh,2008,6.935286103999999,25.31024955,82.35834813
Andhra Pradesh,2009,7.3436222010000005,22.13510125,82.74399616
Andhra Pradesh,2010,5.365274725,15.39718805,69.4872807
Andhra Pradesh,2011,4.642877493,23.96916488,78.89409673
Andhra Pradesh,2012,7.438174274,15.7628524,77.66199037
Andhra Pradesh,2013,7.379130435,17.40019861,76.64749581
Andhra Pradesh,2014,8.658371041,18.58235294,74.89686291
Arunachal Pradesh,2005,1.992983811656848,10.811324898928977,76.35110332503852
Arunachal Pradesh,2006,2.294911342131937,10.409247059195213,66.64280449929419
Arunachal Pradesh,2007,2.6417352262395215,9.885135580695925,60.34618610772428
Arunachal Pradesh,2008,3.586688932335484,9.710346173484682,65.21718338402528
Arunachal Pradesh,2009,2.8520511333501783,11.225202357117627,69.82185408187343
Arunachal Pradesh,2010,2.0355464101309835,6.207139278671154,60.778610155580246
Arunachal Pradesh,2011,1.9645120559797427,5.809134920382736,64.35411819436021
Arunachal Pradesh,2012,1.8934777018285018,5.459178164382751,66.2739657028031
Arunachal Pradesh,2013,2.0195004404860395,5.483520533679032,86.4334975033006
Arunachal Pradesh,2014,2.0,5.0,69.4
Assam,2005,5.327000000000001,17.38305085,111.94845359999998
Assam,2006,6.19057117,16.21029543,94.94285714
Assam,2007,7.359834123,14.16782811,84.85821326
Assam,2008,6.377758768,13.45697279,92.12118644
Assam,2009,6.822799097000001,15.25105105,96.98274569
Assam,2010,7.050862852000001,15.23251589,81.74511586
Assam,2011,6.567201777999999,14.59931874,81.90988463
Assam,2012,6.083540704,13.96612158,82.07465339
Assam,2013,6.94160852,15.43692618,124.6814176
Assam,2014,6.808833272,14.05294334,80.74357090000001
Bihar,2005,12.27910448,34.07017544,103.38805970000001
Bihar,2006,9.98452381,39.44378698,111.0828402
Bihar,2007,9.74519774,41.575,116.3621622
Bihar,2008,6.8644859810000005,38.31181818,118.6544118
Bihar,2009,4.708695652,32.61746032,98.47761194
Bihar,2010,6.4879999999999995,36.11678832,165.2805755
Bihar,2011,4.25,35.734375,158.030303
Bihar,2012,6.073298428999999,34.15584416,161.6639004
Bihar,2013,7.896596859,32.57731331,165.2974978
Bihar,2014,9.719895288,30.99878247,168.9310952
Chandigarh,2005,5.194155844,15.70486726,94.54714286
Chandigarh,2006,3.9375,14.72707965,105.10028249999999
Chandigarh,2007,5.3,15.55918654,102.21600000000001
Chandigarh,2008,5.3,15.89756447,95.54188482
Chandigarh,2009,5.8,15.47037037,80.83794466
Chandigarh,2010,2.0053691280000003,15.69571046,91.9704698
Chandigarh,2011,2.013636364,15.81304965,101.6570188
Chandigarh,2012,2.0,19.62668329,111.14897579999999
Chandigarh,2013,2.007058824,28.30823529,101.4462585
Chandigarh,2014,2.0,21.31643836,91.10641201
Chhattisgarh,2005,14.65796388,26.86367647,132.65294120000001
Chhattisgarh,2006,15.30338733,26.07316754,131.2644068
