state/ut,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Andhra Pradesh,3966.0,4389.0,5002.0,5720.0,6458.0,7218.0,6367.0,7208.0,8059.0,8923.0,10189.0,12424.0,12662.0,14075.0,15727.0
Arunachal Pradesh,21,21,21,21,22,22,22,22,22,22,145,151.0,151,151,151
Assam,542,596,657,727,815,914,1021,1116,1235,1384,1582,1807.0,1878,2217,2510
Bihar,949,1024,1121,751,1352,1432,1577,1739,1960,2357,2673,3113.0,3617,4163,4778
Chhattisgarh,857,948,1076,1216,1375,1541,1734,1935,2115,2436,2766,3104.0,3437,3871,4314
Goa,341,366,397,436,482,529,579,624,674,727,790,866.0,938,1009,1084
Gujarat,5576,6008,6508,7087,7817,8622,9497,10289,10999,11873,12993,14414.0,15772,17092,18721
Haryana,1949,2122,2279,2548,2854,3087,3528,3973,4425,4792,5377,5978.0,6600,7239,7928
Himachal Pradesh,217,244,269,289,301,334,342,371,494,538,622,737.0,876,974,1077
Jammu & Kashmir,330,364,399,439,478,524,570,620,668,739,927,917.0,1021,1133,1244
Jharkhand,909,984,1101,1217,1357,1505,1686,1850,2038,2767,3113,3158.0,3417,1719,2066
Karnataka,3537,3636,3738,3977,5436,6220,5486,6217,6953,9044,9930,10910.0,12064,13335,14785
Kerala,2112,2315,2552,2792,3122,3559,3957,4430,4860,5398,6072,6893.0,7858,8775,9648
Madhya Pradesh,3095,3173,3459,3804,4188,4609,5047,5523,6011,6591,7356,8144.0,8760,9722,11141
Maharashtra,6760,7414,8134,8969,9936,10966,12171,13335,14451,15768,17434,19432.0,21488,23394,25562
Manipur,77,90,97,106,114,124,133,147,147,194,207,215.0,296,395,307
Meghalaya,62,67,73,73,92,104,117,128,142,158,176,198.0,220,248,267
Mizoram,31,34,37,42,47,52,61,66,70,80,93,102.0,121,137,151
Nagaland,160,177,162,172,172,184,210,226,240,254,273,291.0,311,318,334
Odisha,1096,1215,1359,1525,1715,1932,2148,2370,2607,2932,3338,3759.0,4216,4702,5219
Punjab,2910,3103,3308,3529,3876,4035,4294,4573,4832,5274,5274,6263.0,6263,6263,6263
Rajasthan,2943,3197,3487,3834,4261,4754,5336,5902,6490,7166,7986,8985.0,10072,11133,12379
Sikkim,12,13,15,17,20,22,25,26,29,34,39,43.0,36,40,43
Tamil Nadu,5162,5658,8005,8575,9257,10054,10981,11930,12891,14062,15638,17412.0,19232,20864,22519
Tripura,50,57,66,76,73,106,120,131,144,160,188,204.0,245,256,282
Uttarakhand,364,406,457,516,573,643,643,731,787,831,997,1244.0,1460,1640,1827
Uttar Pradesh,4921,5171,5928,6460,7344,7989,9086,9826,10779,11988,13287,15445.0,17048,19115,21636
West Bengal,1690,1690,2366,2548,2681,2872,3198,2762,3044,2747,3261,3861.0,6111,6745,7403
Andaman & Nicobar Islands,25,28,28,28,37,41,48,53,60,62,69,77.0,85,94,102
Chandigarh,386,386,562,586,617,647,678,712,747,949,1008,1058.0,1106,631,676
Dadra & Nagar Haveli,13,13,31,35,40,45,51,58,63,69,76,85.0,93,103,112
Daman & Diu,37,41,44,48,51,55,62,68,70,72,78,85.0,92,95,100
Delhi,3635,3699,3971,4237,4187,4487,5492,5899,6302,6747,7228,7350.0,7785,8293,8851
Lakshadweep,4,5,5,5,5,6,7,7,7,8,9,10.0,11,13,14
Puducherry,252,270,293,313,347,384,432,484,538,599,673,755.0,700,751,803
