state/ut,2001,2002,2003,2004,2005,2006,2007,2008
Andhra Pradesh,13545,14023,14421,14349,15578,15786,15882,16750
Arunachal Pradesh,,,,,,,,
Assam,1424,1380,1479,1510,1710,1864,1966,1865
Bihar,1460,1421,1344,1304,1670,1669,1601,1777
Chhattisgarh,1218,1257,1227,1249,1341,1480,1779,1851
Goa,506,503,534,542,517,543,515,521
Gujarat,14017,13860,13074,12692,13615,14050,14326,15100
Haryana,4436,4398,4429,4227,4339,4295,4408,4691
Himachal Pradesh,504,493,501,517,653,809,851,1122
Jammu & Kashmir,338,340,323,323,423,519,618,672
Jharkhand,1396,1300,1303,1326,1603,1589,1598,1587
Karnataka,6865,6823,6844,6949,7596,7828,7840,8425
Kerala,4548,4516,4403,5174,5490,5639,5555,5530
Madhya Pradesh,3137,2906,2964,2881,3026,2949,3068,3156
Maharashtra,18292,17613,17364,17263,18921,18710,18608,18279
Manipur,37,38,39,37,55,59,63,69
Meghalaya,30,34,41,46,57,66,76,90
Nagaland,127,117,117,109,113,109,106,104
Odisha,1568,1686,1660,1623,1744,1858,1905,1817
Punjab,7036,7174,6913,6699,7575,8332,9256,10179
Rajasthan,4965,5132,5360,5323,5740,6005,6058,6334
Sikkim,,,,,,,,
Tamil Nadu,19957,18254,19143,19554,21060,21235,23699,21026
Tripura,209,210,230,241,275,307,324,340
Uttarakhand,730,673,697,666,751,900,1151,1454
Uttar Pradesh,9477,9065,8888,9076,9581,10508,10693,10694
West Bengal,6082,6159,6050,5885,1603,1589,5927,5984
Andaman & Nicobar Islands,21,20,17,17,21,12,12,12
Chandigarh,291,274,252,261,287,296,274,294
Dadra & Nagar Haveli,888,967,941,947,1057,1124,1054,1014
Daman & Diu,1270,1384,1349,1375,1681,1534,1523,1484
Delhi,3451,3292,3333,3082,3156,3306,3270,3199
Lakshadweep,,,,,,,,
Puducherry,514,519,593,597,597,633,740,695
