State/UT,Population,Area
Andhra Pradesh,84580777.0,275045.0
Arunachal Pradesh,1383727.0,83743.0
Assam,31205576.0,78438.0
Bihar,104099452.0,94163.0
Chandigarh,1055450.0,114.0
Chhattisgarh,25545198.0,135192.0
Dadra & Nagar Haveli,343709.0,491.0
Daman & Diu,243247.0,111.0
Delhi,16787941.0,1483.0
Goa,1458545.0,3702.0
Gujarat,60439692.0,196244.0
Haryana,25351462.0,44212.0
Himachal Pradesh,6864602.0,55673.0
Jammu & Kashmir,12541302.0,222236.0
Jharkhand,32988134.0,79716.0
Karnataka,61095297.0,191791.0
Kerala,33406061.0,38852.0
Madhya Pradesh,72626809.0,308252.0
Maharashtra,112374333.0,307713.0
Manipur,2855794.0,22327.0
Meghalaya,2966889.0,22429.0
Mizoram,1097206.0,21081.0
Nagaland,1978502.0,16579.0
Odisha,41974218.0,155707.0
Puducherry,1247953.0,490.0
Punjab,27743338.0,50362.0
Rajasthan,68548437.0,342239.0
Sikkim,610577.0,7096.0
Tamil Nadu,72147030.0,130060.0
Uttar Pradesh,199812341.0,240928.0
Uttarakhand,10086292.0,53483.0
West Bengal,91276115.0,88752.0
