State/UT,Population
Andhra Pradesh,86362181.54443713
Arunachal Pradesh,1449247.5059776646
Assam,32204842.98192266
Bihar,108924123.48036228
Chandigarh,1089470.394219553
Chhattisgarh,26608317.69401385
Dadra & Nagar Haveli,375622.2463789274
Daman & Diu,265102.3022474589
Delhi,17446318.105531998
Goa,1481791.8988561658
Gujarat,62608711.617804766
Haryana,26288382.48315884
Himachal Pradesh,7033762.904706482
Jammu & Kashmir,13084944.107180346
Jharkhand,34350336.052134015
Karnataka,62892580.52175558
Kerala,33728106.75337865
Madhya Pradesh,75367436.92787394
Maharashtra,115759050.89119308
Manipur,2983716.1661201604
Meghalaya,3116793.831271389
Mizoram,1144477.3077551082
Nagaland,1976203.2343856478
Odisha,43092190.83908453
Puducherry,1311279.6552662367
Punjab,28474661.372080676
Rajasthan,71248598.98505957
Sikkim,625565.8055347399
Tamil Nadu,74270667.41599001
Uttar Pradesh,207310668.59239003
Uttarakhand,10440059.329288634
West Bengal,93674090.62779848
