State,Year,Feature
Andhra Pradesh,2005,15578
Andhra Pradesh,2006,15786
Andhra Pradesh,2007,15882
Andhra Pradesh,2008,16750
Andhra Pradesh,2009,16903.0
Andhra Pradesh,2010,17153.0
Andhra Pradesh,2011,26286.0
Andhra Pradesh,2012,27708.0
Andhra Pradesh,2013,29014.0
Andhra Pradesh,2014,29829.0
Arunachal Pradesh,2005,
Arunachal Pradesh,2006,
Arunachal Pradesh,2007,
Arunachal Pradesh,2008,
Arunachal Pradesh,2009,
Arunachal Pradesh,2010,
Arunachal Pradesh,2011,
Arunachal Pradesh,2012,
Arunachal Pradesh,2013,
Arunachal Pradesh,2014,
Assam,2005,1710
Assam,2006,1864
Assam,2007,1966
Assam,2008,1865
Assam,2009,2211.0
Assam,2010,2247.0
Assam,2011,2795.0
Assam,2012,3019.0
Assam,2013,3303.0
Assam,2014,3518.0
Bihar,2005,1670
Bihar,2006,1669
Bihar,2007,1601
Bihar,2008,1777
Bihar,2009,1775.0
Bihar,2010,1918.0
Bihar,2011,2805.0
Bihar,2012,3231.0
Bihar,2013,3345.0
Bihar,2014,3419.0
Chhattisgarh,2005,1341
Chhattisgarh,2006,1480
Chhattisgarh,2007,1779
Chhattisgarh,2008,1851
Chhattisgarh,2009,1919.0
Chhattisgarh,2010,1976.0
Chhattisgarh,2011,2358.0
Chhattisgarh,2012,2472.0
Chhattisgarh,2013,2441.0
Chhattisgarh,2014,2534.0
Goa,2005,517
Goa,2006,543
Goa,2007,515
Goa,2008,521
Goa,2009,519.0
Goa,2010,520.0
Goa,2011,583.0
Goa,2012,586.0
Goa,2013,597.0
Goa,2014,618.0
Gujarat,2005,13615
Gujarat,2006,14050
Gujarat,2007,14326
Gujarat,2008,15100
Gujarat,2009,14863.0
Gujarat,2010,15576.0
Gujarat,2011,21282.0
Gujarat,2012,22220.0
Gujarat,2013,22587.0
Gujarat,2014,22876.0
Haryana,2005,4339
Haryana,2006,4295
Haryana,2007,4408
Haryana,2008,4691
Haryana,2009,4450.0
Haryana,2010,4640.0
Haryana,2011,5967.0
Haryana,2012,6142.0
Haryana,2013,6163.0
Haryana,2014,6117.0
Himachal Pradesh,2005,653
Himachal Pradesh,2006,809
Himachal Pradesh,2007,851
Himachal Pradesh,2008,1122
Himachal Pradesh,2009,1294.0
Himachal Pradesh,2010,1545.0
Himachal Pradesh,2011,2210.0
Himachal Pradesh,2012,2489.0
Himachal Pradesh,2013,2654.0
Himachal Pradesh,2014,2806.0
Jammu & Kashmir,2005,423
Jammu & Kashmir,2006,519
Jammu & Kashmir,2007,618
Jammu & Kashmir,2008,672
Jammu & Kashmir,2009,649.0
Jammu & Kashmir,2010,626.0
Jammu & Kashmir,2011,795.0
Jammu & Kashmir,2012,861.0
Jammu & Kashmir,2013,955.0
Jammu & Kashmir,2014,943.0
Jharkhand,2005,1603
Jharkhand,2006,1589
Jharkhand,2007,1598
Jharkhand,2008,1587
Jharkhand,2009,1846.0
Jharkhand,2010,2032.0
Jharkhand,2011,2504.0
Jharkhand,2012,2556.0
Jharkhand,2013,2697.0
Jharkhand,2014,2688.0
Karnataka,2005,7596
Karnataka,2006,7828
Karnataka,2007,7840
Karnataka,2008,8425
Karnataka,2009,8451.0
Karnataka,2010,8541.0
