State,Year,Feature
Andhra Pradesh,2005,6458.0
Andhra Pradesh,2006,7218.0
Andhra Pradesh,2007,6367.0
Andhra Pradesh,2008,7208.0
Andhra Pradesh,2009,8059.0
Andhra Pradesh,2010,8923.0
Andhra Pradesh,2011,10189.0
Andhra Pradesh,2012,12424.0
Andhra Pradesh,2013,12662.0
Andhra Pradesh,2014,14075.0
Arunachal Pradesh,2005,22
Arunachal Pradesh,2006,22
Arunachal Pradesh,2007,22
Arunachal Pradesh,2008,22
Arunachal Pradesh,2009,22
Arunachal Pradesh,2010,22
Arunachal Pradesh,2011,145
Arunachal Pradesh,2012,151.0
Arunachal Pradesh,2013,151
Arunachal Pradesh,2014,151
Assam,2005,815
Assam,2006,914
Assam,2007,1021
Assam,2008,1116
Assam,2009,1235
Assam,2010,1384
Assam,2011,1582
Assam,2012,1807.0
Assam,2013,1878
Assam,2014,2217
Bihar,2005,1352
Bihar,2006,1432
Bihar,2007,1577
Bihar,2008,1739
Bihar,2009,1960
Bihar,2010,2357
Bihar,2011,2673
Bihar,2012,3113.0
Bihar,2013,3617
Bihar,2014,4163
Chhattisgarh,2005,1375
Chhattisgarh,2006,1541
Chhattisgarh,2007,1734
Chhattisgarh,2008,1935
Chhattisgarh,2009,2115
Chhattisgarh,2010,2436
Chhattisgarh,2011,2766
Chhattisgarh,2012,3104.0
Chhattisgarh,2013,3437
Chhattisgarh,2014,3871
Goa,2005,482
Goa,2006,529
Goa,2007,579
Goa,2008,624
Goa,2009,674
Goa,2010,727
Goa,2011,790
Goa,2012,866.0
Goa,2013,938
Goa,2014,1009
Gujarat,2005,7817
Gujarat,2006,8622
Gujarat,2007,9497
Gujarat,2008,10289
Gujarat,2009,10999
Gujarat,2010,11873
Gujarat,2011,12993
Gujarat,2012,14414.0
Gujarat,2013,15772
Gujarat,2014,17092
Haryana,2005,2854
Haryana,2006,3087
Haryana,2007,3528
Haryana,2008,3973
Haryana,2009,4425
Haryana,2010,4792
Haryana,2011,5377
Haryana,2012,5978.0
Haryana,2013,6600
Haryana,2014,7239
Himachal Pradesh,2005,301
Himachal Pradesh,2006,334
Himachal Pradesh,2007,342
Himachal Pradesh,2008,371
Himachal Pradesh,2009,494
Himachal Pradesh,2010,538
Himachal Pradesh,2011,622
Himachal Pradesh,2012,737.0
Himachal Pradesh,2013,876
Himachal Pradesh,2014,974
Jammu & Kashmir,2005,478
Jammu & Kashmir,2006,524
Jammu & Kashmir,2007,570
Jammu & Kashmir,2008,620
Jammu & Kashmir,2009,668
Jammu & Kashmir,2010,739
Jammu & Kashmir,2011,927
Jammu & Kashmir,2012,917.0
Jammu & Kashmir,2013,1021
Jammu & Kashmir,2014,1133
Jharkhand,2005,1357
Jharkhand,2006,1505
Jharkhand,2007,1686
Jharkhand,2008,1850
Jharkhand,2009,2038
Jharkhand,2010,2767
Jharkhand,2011,3113
Jharkhand,2012,3158.0
Jharkhand,2013,3417
Jharkhand,2014,1719
Karnataka,2005,5436
Karnataka,2006,6220
Karnataka,2007,5486
Karnataka,2008,6217
Karnataka,2009,6953
Karnataka,2010,9044
Karnataka,2011,9930
Karnataka,2012,10910.0
Karnataka,2013,12064
Karnataka,2014,13335
Kerala,2005,3122
Kerala,2006,3559
Kerala,2007,3957
Kerala,2008,4430
Kerala,2009,4860
Kerala,2010,5398
Kerala,2011,6072
Kerala,2012,6893.0
Kerala,2013,7858
Kerala,2014,8775
Madhya Pradesh,2005,4188
Madhya Pradesh,2006,4609
Madhya Pradesh,2007,5047
Madhya Pradesh,2008,5523
Madhya Pradesh,2009,6011
Madhya Pradesh,2010,6591
