State/UT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Density
Andhra Pradesh,79454018.8545222,80286372.4877108,81127445.7877038,81977330.1009989,82836117.7310319,83703901.9482017,84580777,85466838.1212477,86362181.5444371,87266904.5101845,275045
Arunachal Pradesh,1204408.95474073,1232593.99914814,1261438.61746947,1290958.24476105,1321168.67728355,1352086.08095474,1383727,1416108.36580537,1449247.50597766,1483162.15361667,83743
Assam,28389991.0140105,28840962.272853,29299097.1505991,29764509.4403893,30237314.742953,30717630.4953221,31205576,31701272.4545949,32204842.9819227,32716412.6605891,78438
Bihar,90870214.1931861,92952134.476391,95081753.4703792,97260163.9965371,99488483.9137956,101767856.692263,104099452,106484466.303241,108924123.480362,111419675.449922,94163
Chandigarh,959631.1963266,974974.466716949,990563.056295725,1006400.88740169,1022491.94508677,1038840.27811874,1055450,1072325.29000254,1089470.39421955,1106889.62663382,114
Chhattisgarh,22603976.1943073,23069538.8494871,23544690.4630003,24029628.5337678,24524554.6284954,25029674.4654566,25545198,26071339.5118181,26608317.6940138,27156355.7440014,135192
Dadra & Nagar Haveli,263335.676034445,275289.660921001,287786.290681279,300850.198394688,314507.135346357,328784.021787497,343709,359311.489769886,375622.246378927,392673.421228782,491
Daman & Diu,187909.818493505,196169.947718808,204793.175239696,213795.462110611,223193.471001126,233004.597037507,243247,253939.63793545,265102.302247459,276755.654329032,111
Delhi,14958166.9580516,15248655.492734,15544785.3328664,15846666.0329522,16154409.2750502,16468128.9100916,16787941,17113963.8606286,17446318.105532,17785126.6905873,1483
Goa,1390969.7422648,1402010.84983676,1413139.59846425,1424356.68381611,1435662.80708321,1447058.67502226,1458545,1470122.50003772,1481791.89885617,1493553.92592074,3702
Gujarat,54373172.0173519,55340226.4253297,56324480.3858312,57326239.8016106,58345816.0160579,59383525.9099626,60439692,61514642.5389674,62608711.6178048,63722239.2694284,196244
Haryana,22736334.2156655,23152658.8268511,23576606.7505829,24008317.5772011,24447933.4530824,24895599.1274431,25351462,25815672.1695033,26288382.4831588,26769748.5869549,44212
Himachal Pradesh,6381140.03246708,6459285.13814029,6538387.22916558,6618458.02503525,6699509.38876157,6781553.32863434,6864602,6948667.70706255,7033762.90470648,7119900.20034205,55673
Jammu & Kashmir,11042181.6759587,11278971.8102937,11520839.7063758,11767894.2524593,12020246.6718138,12278010.5727969,12541302,12810239.4864916,13084944.1071803,13365539.5333226,222236
Jharkhand,29217162.0713594,29814302.2355561,30423646.7464592,31045445.0364256,31679951.635709,32327426.2766507,32988134,33662345.2634071,34350336.052134,35052387.9920276,79716
Karnataka,56005783.6066696,56823593.5330292,57653345.316686,58495213.3355133,59349374.5136921,60216008.3588928,61095297,61987425.2253881,62892580.5217556,63810953.1135272,191791
Kerala,32458256.4947536,32614335.5316004,32771165.0913765,32928748.7830525,33087090.2329533,33246193.0848412,33406061,33566697.6573192,33728106.7533786,33890292.0025335,38852
Madhya Pradesh,64988515.0221127,66203355.9568441,67440906.1117538,68701589.9940067,69985840.0461498,71294096.794449,72626809,73984433.8126625,75367436.9278739,76776292.7463922,308252
Maharashtra,102802490.471052,104339211.665993,105898904.211337,107481911.489438,109088582.015626,110719269.514939,112374333,114054136.850054,115759050.891193,117489450.477775,307713
Manipur,2504003.80904926,2559471.51447794,2616167.91865476,2674120.2392301,2733356.296769,2793904.5281067,2855794,2919054.42308104,2983716.16612016,3049810.27060476,22327
Meghalaya,2559062.93507427,2622915.83638477,2688361.97440307,2755441.10305039,2824193.96817477,2894662.33230131,2966889,3040917.84388644,3116793.83127139,3194563.05147525,22429
Mizoram,966787.746153721,987394.362470234,1008440.19891309,1029934.61724827,1051887.17878328,1074307.6486203,1097206,1120592.41873785,1144477.30775511,1168871.29170628,21081
Nagaland,1985414.35315452,1984260.61949332,1983107.5562722,1981955.16310156,1980803.43959204,1979652.38535449,1978502,1977352.28313987,1976203.23438565,1975054.85334908,16579
Odisha,38791335.4915088,39304539.4611854,39824533.0479545,40351406.0775052,40885249.5639081,41426155.7253372,41974218,42529531.0622788,43092190.8390845,43662294.5264279,155707
Puducherry,1075739.0851616,1102695.22796873,1130326.84463848,1158650.86136622,1187684.62848819,1217445.93110976,1247953,1279224.52275919,1311279.65526624,1344138.03341294,490
Punjab,25660147.4570999,25996152.4575977,26336557.2519996,26681419.4530981,27030797.4280926,27384750.3084674,27743338,28106621.1929,28474661.3720807,28847520.827565,50362
Rajasthan,61046566.1666846,62237283.1722687,63451225.1858494,64688845.2126277,65950605.0936988,67236975.6783966,68548437,69885478.4548666,71248598.9850596,72638307.2645377,342239
Sikkim,567731.195700966,574657.446681934,581668.197075678,588764.477764673,595947.332208037,603217.816594956,610577,618025.964540313,625565.80553474,633197.631664877,7096
Tamil Nadu,66133552.2601399,67099809.2022874,68080183.8267057,69074882.4024977,70084114.2125007,71108091.5973191,72147030,73201148.0113629,74270667.41599,75355813.2388899,130060
Uttar Pradesh,178905740.260588,182231708.723655,185619508.999392,189070290.579472,192585224.325333,196165502.86545,199812341,203526976.113047,207310668.59239,211164702.25722,240928
Uttarakhand,9095304.58842316,9253434.65443551,9414313.95413586,9577990.28542919,9744512.27723014,9913929.40391085,10086292,10261651.2751374,10440059.3292886,10621569.1682241,53483
West Bengal,84444259.2208621,85546313.641411,86662750.6139185,87793757.8403683,88939525.4723812,90100246.1431849,91276115,92467329.7368501,93674090.6277985,94896600.56062,88752
